"","","","liverpool","nottingham","bristol","northeast","greatermanchester","sheffield","westmidlands","leeds","london"
"other","hgv","2009","144149.7055","316628.667","92879.6885","361639.3355","179572.919","155994.4665","138855.271","219138.554","624770.354"
"motorway","hgv","2010","169768.727","117657.7135","299518.5985","95715.994","640351.2915","502965.2185","357681.6405","561137.9695","228242.822"
"other","hgv","2010","143851.537","319078.401","90551.0615","361176.187","178415.212","153985.981","133375.1975","210706.178","642708.644"
"motorway","hgv","2011","158672.8365","119237.7255","297162.8885","94948.837","564933.7505","462916.36","365369.3435","575097.0295","216642.684"
"other","hgv","2011","143507.561","319145.78","92850.4885","370363.967","173211.0055","147541.3585","148959.493","219953.9275","661719.9975"
"motorway","hgv","2012","149911.5225","116440.6575","287800.8575","95223.828","541363.036","444211.278","359628.0395","568449.44875","222750.229"
"other","hgv","2012","133645.5676","311706.76975","92196.08","358034.924","158615.51325","140946.2976","149269.1006","219530.3012","702833.3785"
"motorway","hgv","2013","151084.085","120328.1995","293116.973","95543.8235","541095.418","455711.9535","363924.4545","577715.55775","229072.686"
"other","hgv","2013","135912.62275","317675.8155","94682.4235","359354.43915","156142.9485","142005.5495","151492.666","218849.60175","687789.8013"
"motorway","hgv","2014","154889.9765","124809.9615","305832.77","95118.4525","554611.076","461305.9435","443649.9445","627829.94825","223902.8625"
"other","hgv","2014","137208.975","339935.57775","97335.061","360653.35005","157827.87975","145426.6142","163404.8352","234241.16995","685119.82995"
"motorway","hgv","2015","161388.7285","131622.139","318340.59","97759.556","563958.4705","486352.499","444185.1075","700681.1925","258475.407"
"other","hgv","2015","137864.223","358026.4925","97720.574","370128.177","153971.4175","148682.3485","168730.448","189290.679","688492.6745"
"motorway","hgv","2016","166324.0395","132965.0835","324998.5915","93753.316","573889.6095","496293.274","454085.988","705159.779","258889.6455"
"other","hgv","2016","135765.838","363301.363","99059.0655","377751.9685","150291.7795","150718.647","168585.251","192568.5615","667906.6015"
"motorway","hgv","2017","172555.648","138029.13","346160.087","102663.0025","563312.6395","513084.588","463971.356","701484.959","273890.1965"
"other","hgv","2017","138920.2775","365616.412","97972.5335","379211.8225","147797.041","153188.5655","175438.3085","192593.929","623342.985"
"motorway","hgv","2018","171817.7275","136251.7625","361562.7585","104400.658","569105.664","521718.882","466615.8905","713932.992","285007.9505"
"other","hgv","2018","147957.422","372910.2435","103086.9135","387170.538","150026.2785","153527.249","184612.2185","195470.421","605670.8895"
"motorway","bicycle","2005","0","0","0","0","0","0","0","0","0"
"other","bicycle","2005","8083.7061","9577.9285","12409.5255","9987.24315","21673.919","7363.2253","11067.5738","11584.24225","261479.85705"
"motorway","bicycle","2006","0","0","0","0","0","0","0","0","0"
"other","bicycle","2006","11388.5329","12581.96975","17772.288","12868.35605","29863.1685","9072.7028","14453.25905","15000.68605","305649.60935"
"motorway","bicycle","2007","0","0","0","0","0","0","0","0","0"
"other","bicycle","2007","7667.13525","9600.4855","14701.324","10316.61915","22706.066","7135.02","9786.9275","13292.0225","282251.8355"
"motorway","bicycle","2008","0","0","0","0","0","0","0","0","0"
"other","bicycle","2008","10793.98075","12388.6475","18884.1145","12863.04165","30707.1215","9241.7635","14174.556","17406.8135","285278.9265"
"motorway","bicycle","2009","0","0","0","0","0","0","0","0","0"
"other","bicycle","2009","12158.004","13685.529","21016.773","14499.333","32874.309","10612.375","14938.0995","19530.858","281693.787"
"motorway","bicycle","2010","0","0","0","0","0","0","0","0","0"
"other","bicycle","2010","12117.9635","13107.369","21886.276","14981.425","33859.4075","10272.4505","14587.59","19089.719","299002.89"
"motorway","bicycle","2011","0","0","0","0","0","0","0","0","0"
"other","bicycle","2011","13228.1475","13653.0075","24111.9365","16160.886","38054.024","10896.345","15917.942","20541.5795","286796.8155"
"motorway","bicycle","2012","0","0","0","0","0","0","0","0","0"
"other","bicycle","2012","12170.05265","13497.6635","23024.7475","16158.75075","35905.03175","9939.0741","14622.4621","20891.9357","285195.3269"
"motorway","bicycle","2013","0","0","0","0","0","0","0","0","0"
"other","bicycle","2013","12778.6719","13157.97625","23624.698","17219.9335","36815.3965","10182.7846","14402.85255","20830.6887","271003.0465"
"motorway","bicycle","2014","0","0","0","0","0","0","0","0","0"
"other","bicycle","2014","13270.1006","12565.25275","22904.626","16289.55945","37216.276","9691.3924","14307.09845","20229.76365","306302.1162"
"motorway","bicycle","2015","0","0","0","0","0","0","0","0","0"
"other","bicycle","2015","12833.3635","12835.3345","23335.691","16636.262","35474.496","10072.9415","13866.5325","19755.8075","327028.904"
"motorway","bicycle","2016","0","0","0","0","0","0","0","0","0"
"other","bicycle","2016","13115.2165","13269.575","25487.3295","17011.847","35919.431","10686.1415","14993.7255","21607.854","349351.063"
"motorway","bicycle","2017","0","0","0","0","0","0","0","0","0"
"other","bicycle","2017","13379.9875","12666.23","29091.084","17093.3515","34858.595","10597.4465","15461.2175","21611.504","346987.7245"
"motorway","bicycle","2018","0","0","0","0","0","0","0","0","0"
"other","bicycle","2018","15221.7775","13408.3845","34044.9735","17936.684","38744.604","11777.7835","17948.583","24176.0305","342931.297"
"motorway","motorcycle","2005","6529.8865","2537.115","17071.4515","3159.659","19185.787","8837.8545","9548.546","10235.111","18745.159"
"other","motorcycle","2005","24218.6041","34111.1845","34302.3715","49384.43065","36024.0765","25983.2039","34254.8412","43262.65795","460445.7553"
"motorway","motorcycle","2006","6262.597","2727.718","17896.534","3791.3645","19573.928","9061.3805","10365.5985","12084.9675","18531.3785"
"other","motorcycle","2006","23558.92135","31777.42925","35077.157","47933.0264","34441.4","24819.9927","33403.3838","40288.262","525273.9236"
"motorway","motorcycle","2007","5687.3205","2772.9415","20727.328","3090.4915","18854.5495","8298.713","9408.24","12477.8535","20713.7135"
"other","motorcycle","2007","22438.50275","33894.046","36095.9085","51199.99175","34543.673","24998.12","33716.9115","41846.40685","505281.107"
"motorway","motorcycle","2008","6294.5345","2731.8425","20849.2015","4242.103","19646.9645","8802.9605","11436.91","14747.752","20015.0305"
"other","motorcycle","2008","22368.05775","32196.1025","34713.544","50910.11605","33322.2005","24550.8855","30523.928","41337.45815","458865.371"
